Match_Number,Opponent,Away_Condition,Gamification_Days,Winner,SortedCup
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,1
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
2,Vaalerenga,Baseline,Baseline,Home,0
