,decision,Gold_benefits,Platinum_upgrade,Platinum_upgrade_merit,age,female,income
0,0.0,0,0,1,30.333334,0,60000000
1,0.0,1,0,0,38.25,0,60000000
2,0.0,0,0,1,59.333332,0,195000000
5,0.0,0,0,1,40.5,0,60000000
7,0.0,0,1,0,49.916668,0,60000000
9,0.0,0,0,1,40.666668,0,264000000
10,0.0,1,0,0,37.833332,0,60000000
11,0.0,0,0,1,26.5,0,60000000
13,0.0,0,1,0,43.166668,0,60000000
14,0.0,0,1,0,51.5,0,207000000
15,0.0,1,0,0,59.0,0,420000000
17,0.0,1,0,0,28.583334,0,180000000
19,0.0,1,0,0,50.083332,0,201000000
20,0.0,0,0,1,36.5,0,60000000
21,1.0,0,0,1,48.833332,0,60000000
22,0.0,0,0,1,38.833332,0,60000000
23,0.0,0,0,1,42.166668,0,60000000
24,0.0,1,0,0,44.75,0,60000000
27,0.0,0,1,0,54.583332,0,344000000
30,1.0,0,1,0,49.25,0,25000000
34,1.0,0,1,0,36.416668,0,60000000
35,0.0,0,0,1,57.0,0,1000000000
36,0.0,0,1,0,32.833332,0,60000000
38,1.0,0,1,0,62.416668,0,25000000
39,0.0,0,1,0,49.083332,0,960000000
43,0.0,0,1,0,54.083332,0,60000000
45,0.0,0,0,1,48.833332,0,60000000
46,1.0,0,0,1,46.333332,0,65000000
47,0.0,0,1,0,43.916668,1,60000000
48,0.0,0,1,0,40.333332,1,60000000
49,0.0,0,1,0,53.166668,1,60000000
51,0.0,1,0,0,57.416668,0,60000000
52,0.0,0,1,0,62.916668,0,60000000
53,0.0,0,1,0,50.5,1,249000000
54,1.0,0,0,1,38.666668,0,25000000
56,1.0,0,0,1,39.5,0,60000000
58,0.0,1,0,0,50.083332,1,360000000
59,0.0,0,0,1,48.5,1,1000000000
60,0.0,0,0,1,55.0,0,450000000
61,1.0,0,0,1,44.416668,0,60000000
62,1.0,1,0,0,56.833332,0,60000000
63,0.0,1,0,0,47.25,0,386000000
64,0.0,0,0,1,51.666668,0,25000000
65,0.0,0,1,0,56.333332,0,60000000
66,0.0,0,0,1,56.083332,1,300000000
67,0.0,1,0,0,40.666668,0,25000000
68,1.0,0,0,1,47.666668,0,65000000
69,1.0,0,0,1,50.25,1,1000000000
71,0.0,1,0,0,38.916668,0,300000000
73,0.0,0,0,1,51.0,0,500000000
76,1.0,0,1,0,48.333332,0,65000000
77,0.0,0,0,1,52.416668,0,500000000
78,0.0,1,0,0,64.5,1,60000000
79,0.0,0,0,1,54.916668,1,300000000
80,0.0,0,1,0,48.166668,1,60000000
83,0.0,0,0,1,38.916668,0,25000000
85,1.0,0,1,0,48.75,0,60000000
87,0.0,0,0,1,41.0,0,260000000
88,0.0,1,0,0,53.333332,0,60000000
90,0.0,0,1,0,41.333332,1,25000000
92,0.0,1,0,0,61.916668,0,60000000
93,1.0,0,0,1,31.916666,1,60000000
94,0.0,0,1,0,55.083332,0,60000000
95,1.0,0,0,1,40.083332,0,60000000
98,0.0,1,0,0,57.166668,0,600000000
100,0.0,1,0,0,57.166668,0,25000000
101,0.0,1,0,0,40.083332,0,350000000
103,0.0,1,0,0,59.916668,0,60000000
104,0.0,0,1,0,60.666668,0,45000000
105,0.0,0,1,0,42.833332,1,65000000
106,0.0,0,0,1,50.0,1,60000000
107,0.0,0,1,0,47.0,0,60000000
108,0.0,0,1,0,55.0,1,325000000
109,0.0,0,0,1,55.833332,1,60000000
111,0.0,1,0,0,37.333332,1,60000000
112,0.0,0,1,0,42.333332,0,60000000
113,0.0,0,0,1,46.916668,0,60000000
115,0.0,1,0,0,45.25,1,60000000
116,1.0,0,0,1,38.666668,1,60000000
118,0.0,1,0,0,45.083332,1,216000000
120,0.0,1,0,0,45.333332,0,60000000
121,1.0,0,1,0,46.833332,1,60000000
122,0.0,0,0,1,29.166666,0,342000000
123,0.0,0,1,0,51.333332,0,600000000
124,0.0,0,0,1,41.75,0,100000000
125,1.0,0,0,1,33.0,0,60000000
126,0.0,0,0,1,38.833332,0,180000000
127,0.0,0,1,0,35.916668,0,360000000
129,0.0,1,0,0,47.666668,0,60000000
130,0.0,1,0,0,53.0,1,300000000
131,0.0,0,0,1,40.583332,0,600000000
132,0.0,1,0,0,46.0,0,210000000
134,1.0,0,0,1,44.666668,1,60000000
135,1.0,0,1,0,48.666668,1,60000000
136,0.0,0,1,0,40.833332,1,360000000
137,0.0,1,0,0,46.166668,0,60000000
138,0.0,0,1,0,46.25,0,360000000
140,0.0,1,0,0,44.416668,0,60000000
142,0.0,0,0,1,46.833332,0,397000000
144,1.0,1,0,0,38.583332,0,60000000
145,0.0,0,1,0,45.583332,1,60000000
148,0.0,0,0,1,44.083332,0,60000000
149,0.0,1,0,0,48.833332,0,325000000
150,1.0,1,0,0,46.416668,1,65000000
151,1.0,0,0,1,41.083332,0,60000000
152,0.0,1,0,0,39.083332,0,400000000
155,0.0,0,1,0,52.75,1,60000000
156,0.0,0,0,1,43.333332,0,72000000
158,0.0,0,0,1,48.416668,0,60000000
159,0.0,0,0,1,48.166668,0,60000000
160,0.0,0,1,0,51.916668,1,60000000
162,0.0,0,1,0,46.916668,0,300000000
163,0.0,0,0,1,57.0,1,65000000
164,0.0,0,1,0,57.75,0,1000000000
165,0.0,0,1,0,40.916668,0,60000000
166,1.0,0,0,1,47.25,0,180000000
167,0.0,0,1,0,61.75,1,338000000
168,0.0,0,1,0,52.916668,0,25000000
170,0.0,1,0,0,63.166668,0,130000000
171,0.0,1,0,0,44.166668,0,60000000
172,0.0,1,0,0,37.833332,0,515000000
173,0.0,0,1,0,49.25,0,65000000
174,0.0,0,1,0,70.25,0,300000000
175,0.0,0,1,0,31.333334,0,60000000
176,0.0,1,0,0,36.833332,1,60000000
177,0.0,0,1,0,50.833332,1,60000000
178,0.0,1,0,0,46.166668,0,60000000
179,0.0,1,0,0,40.583332,1,60000000
180,0.0,0,1,0,50.083332,0,60000000
181,0.0,0,1,0,54.083332,0,60000000
182,0.0,1,0,0,34.083332,0,180000000
183,0.0,0,1,0,33.0,0,279000000
185,0.0,1,0,0,42.5,1,25000000
186,0.0,0,1,0,61.166668,0,60000000
187,1.0,0,1,0,44.75,0,60000000
188,0.0,0,1,0,64.666664,0,60000000
191,0.0,0,0,1,44.666668,1,567000000
