id;date;treatment;reported_diceroll;correct_guess;age;female;education;universitydegree;sector;employed;highincome;politicalright;believeingod;believeinfreewill;generaltrust
1;07.05.2019 16:04;Trust_promise;1;0;37;0;3;1;1;1;NA;6;10;10;9
2;07.05.2019 09:37;Control;2;0;53;0;4;1;1;1;1;4;1;10;9
3;07.05.2019 09:37;Trust_promise;6;0;29;0;4;1;1;1;1;9;1;11;8
4;07.05.2019 09:38;Trust_promise;1;0;20;1;2;0;3;0;0;5;1;8;7
5;07.05.2019 09:38;Control;2;0;66;1;2;0;1;1;0;10;10;6;9
6;07.05.2019 09:42;Control;5;1;37;0;2;0;1;1;0;6;11;11;6
7;07.05.2019 09:46;Trust_promise;4;0;65;0;4;1;2;1;1;8;10;11;9
8;07.05.2019 09:48;Trust_promise;6;1;48;1;4;1;1;1;1;7;6;7;7
9;07.05.2019 09:59;Trust_promise;2;1;35;0;2;0;1;1;1;10;1;6;4
10;07.05.2019 09:53;Control;4;1;66;1;3;1;2;1;1;9;9;10;7
11;07.08.2019 11:40;Control;2;1;26;1;3;1;2;1;0;3;11;11;4
12;07.05.2019 10:03;Control;1;0;60;1;4;1;2;1;1;6;11;11;6
13;07.05.2019 10:05;Trust_promise;3;0;26;1;3;1;2;1;0;6;3;8;7
14;07.05.2019 10:31;Control;4;0;29;1;4;1;1;1;NA;6;2;10;6
15;07.05.2019 10:23;Control;3;0;34;1;3;1;2;1;1;5;1;11;7
16;07.05.2019 10:26;Trust_promise;2;1;26;1;3;1;2;1;0;6;11;11;9
17;07.05.2019 10:39;Trust_promise;4;0;52;0;3;1;1;1;1;8;3;11;9
18;07.05.2019 10:42;Control;4;1;28;1;3;1;2;1;0;5;1;11;3
19;07.05.2019 10:59;Trust_promise;2;1;55;0;3;1;1;1;0;5;5;11;8
20;07.05.2019 11:27;Control;4;1;22;1;2;0;3;0;NA;1;1;11;7
21;07.05.2019 11:55;Control;3;0;33;1;2;0;2;1;NA;6;1;11;3
22;07.05.2019 18:21;Trust_promise;2;0;55;0;2;0;2;1;NA;6;8;11;7
